index,_check,checking_peer,state,time
121,61,jclay,Start,00:03:00
122,61,jclay,Success,00:29:00
123,62,jgallegos,Start,00:03:00
124,62,jgallegos,Success,00:40:00
125,63,cfry,Start,00:07:00
126,63,cfry,Success,00:33:00
127,64,dwalsh,Start,00:13:00
128,64,dwalsh,Success,01:03:00
129,65,dkaplan,Start,00:16:00
130,65,dkaplan,Failure,00:33:00
131,66,cfry,Start,00:08:00
132,66,cfry,Success,00:28:00
133,67,fdonovan,Start,00:10:00
134,67,fdonovan,Failure,00:47:00
135,68,mgarner,Start,00:04:00
136,68,mgarner,Success,00:09:00
137,69,lmackey,Start,00:08:00
138,69,lmackey,Success,00:32:00
139,70,bleonard,Start,00:03:00
140,70,bleonard,Success,00:56:00
141,71,abarker,Start,00:06:00
142,71,abarker,Failure,00:28:00
143,72,amccormick,Start,00:08:00
144,72,amccormick,Success,00:17:00
145,73,rlarson,Start,00:01:00
146,73,rlarson,Failure,00:09:00
147,74,awest,Start,00:03:00
148,74,awest,Success,00:28:00
149,75,lhorn,Start,00:03:00
150,75,lhorn,Success,00:25:00
151,76,fhiedi,Start,00:06:00
152,76,fhiedi,Success,00:31:00
153,77,bleonard,Start,00:05:00
154,77,bleonard,Success,00:34:00
155,78,ymoses,Start,00:07:00
156,78,ymoses,Success,01:06:00
157,79,gmcpherson,Start,00:10:00
158,79,gmcpherson,Success,01:06:00
159,80,kclayton,Start,00:16:00
160,80,kclayton,Failure,00:26:00
161,81,cfry,Start,00:04:00
162,81,cfry,Success,00:53:00
163,82,ghickey,Start,00:06:00
164,82,ghickey,Success,00:21:00
165,83,ghickey,Start,00:05:00
166,83,ghickey,Success,00:25:00
167,84,dwalsh,Start,00:01:00
168,84,dwalsh,Success,00:55:00
169,85,fdonovan,Start,00:02:00
170,85,fdonovan,Success,00:43:00
171,86,ghickey,Start,00:11:00
172,86,ghickey,Success,00:48:00
173,87,kclayton,Start,00:06:00
174,87,kclayton,Success,01:01:00
175,88,lhorn,Start,00:08:00
176,88,lhorn,Success,01:01:00
177,89,rmcbride,Start,00:05:00
178,89,rmcbride,Success,00:19:00
179,90,kmullins,Start,00:11:00
180,90,kmullins,Success,00:51:00
181,91,lthayer,Start,00:04:00
182,91,lthayer,Success,00:49:00
183,92,kclayton,Start,00:07:00
184,92,kclayton,Success,00:48:00
185,93,lhorn,Start,00:08:00
186,93,lhorn,Success,00:58:00
187,94,lthayer,Start,00:03:00
188,94,lthayer,Success,00:45:00
189,95,kshannon,Start,00:05:00
190,95,kshannon,Success,00:58:00
191,96,gwade,Start,00:05:00
192,96,gwade,Success,00:13:00
193,97,fkaiser,Start,00:03:00
194,97,fkaiser,Success,01:01:00
195,98,dkaplan,Start,00:10:00
196,98,dkaplan,Success,00:47:00
197,99,kclayton,Start,00:12:00
198,99,kclayton,Success,01:03:00
199,100,cmurphy,Start,00:02:00
200,100,cmurphy,Success,00:35:00
201,101,jclay,Start,00:01:00
202,101,jclay,Failure,00:32:00
203,102,mmullen,Start,00:07:00
204,102,mmullen,Success,00:26:00
205,103,mfuentes,Start,00:13:00
206,103,mfuentes,Success,00:42:00
207,104,dwaller,Start,00:02:00
208,104,dwaller,Failure,00:59:00
209,105,mfuentes,Start,00:05:00
210,105,mfuentes,Failure,00:37:00
211,106,dwaller,Start,00:04:00
212,106,dwaller,Success,00:23:00
213,107,jgallegos,Start,00:09:00
214,107,jgallegos,Success,01:02:00
215,108,jwagoner,Start,00:01:00
216,108,jwagoner,Success,00:11:00
217,109,djohns,Start,00:01:00
218,109,djohns,Failure,00:41:00
219,110,lmackey,Start,00:06:00
220,110,lmackey,Success,00:36:00
221,111,senglish,Start,00:10:00
222,111,senglish,Success,00:24:00
223,112,gwade,Start,00:02:00
224,112,gwade,Success,00:58:00
225,113,rhurst,Start,00:06:00
226,113,rhurst,Failure,00:53:00
227,114,fdonovan,Start,00:13:00
228,114,fdonovan,Success,00:44:00
229,115,vearleen,Start,00:03:00
230,115,vearleen,Success,00:25:00
231,116,cchoi,Start,00:06:00
232,116,cchoi,Success,00:14:00
233,117,bcameron,Start,00:04:00
234,117,bcameron,Success,00:21:00
235,118,mpierce,Start,00:02:00
236,118,mpierce,Failure,00:35:00
237,119,cchoi,Start,00:03:00
238,119,cchoi,Success,01:02:00
239,120,bleonard,Start,00:09:00
240,120,bleonard,Success,00:53:00
241,121,vearleen,Start,00:01:00
242,121,vearleen,Failure,00:29:00
243,122,cgamble,Start,00:05:00
244,122,cgamble,Success,00:48:00
245,123,rlarson,Start,00:08:00
246,123,rlarson,Success,00:59:00
247,124,lmackey,Start,00:06:00
248,124,lmackey,Failure,00:24:00
249,125,ymoses,Start,00:08:00
250,125,ymoses,Success,00:50:00
251,126,ghickey,Start,00:05:00
252,126,ghickey,Failure,00:49:00
253,127,abarker,Start,00:13:00
254,127,abarker,Success,00:23:00
255,128,kmullins,Start,00:20:00
256,128,kmullins,Success,01:11:00
257,129,gwade,Start,00:08:00
258,129,gwade,Success,00:42:00
259,130,jgallegos,Start,00:10:00
260,130,jgallegos,Success,00:16:00
261,131,awest,Start,00:18:00
262,131,awest,Failure,00:25:00
263,132,rhurst,Start,00:03:00
264,132,rhurst,Success,00:27:00
265,133,hbethann,Start,00:11:00
266,133,hbethann,Failure,01:06:00
267,134,jwagoner,Start,00:06:00
268,134,jwagoner,Success,00:28:00
269,135,lcardiga,Start,00:13:00
270,135,lcardiga,Success,00:32:00
271,136,rlarson,Start,00:15:00
272,136,rlarson,Success,00:24:00
273,137,abarker,Start,00:03:00
274,137,abarker,Failure,00:12:00
275,138,abarker,Start,00:04:00
276,138,abarker,Success,00:54:00
277,139,dwaller,Start,00:06:00
278,139,dwaller,Failure,00:44:00
279,140,abarnes,Start,00:08:00
280,140,abarnes,Success,00:21:00
281,141,dkaplan,Start,00:09:00
282,141,dkaplan,Success,01:02:00
283,142,abarnes,Start,00:16:00
284,142,abarnes,Failure,00:34:00
285,143,rmcfarland,Start,00:03:00
286,143,rmcfarland,Success,00:56:00
287,144,dwaller,Start,00:05:00
288,144,dwaller,Success,00:46:00
289,145,abarker,Start,00:03:00
290,145,abarker,Success,00:59:00
291,146,abowers,Start,00:03:00
292,146,abowers,Success,00:21:00
293,147,ymoses,Start,00:04:00
294,147,ymoses,Success,00:40:00
295,148,rvalencia,Start,00:12:00
296,148,rvalencia,Failure,00:44:00
297,149,mfuentes,Start,00:06:00
298,149,mfuentes,Success,00:51:00
299,150,bmcfarland,Start,00:08:00
300,150,bmcfarland,Success,00:41:00
301,151,hbethann,Start,00:06:00
302,151,hbethann,Failure,00:21:00
303,152,lmackey,Start,00:07:00
304,152,lmackey,Failure,00:21:00
305,153,jmcintire,Start,00:09:00
306,153,jmcintire,Success,00:31:00
307,154,hbethann,Start,00:07:00
308,154,hbethann,Success,00:35:00
309,155,cfry,Start,00:05:00
310,155,cfry,Success,00:59:00
311,156,awest,Start,00:03:00
312,156,awest,Success,00:30:00
313,157,fhiedi,Start,00:08:00
314,157,fhiedi,Success,00:59:00
315,158,ctrevino,Start,00:04:00
316,158,ctrevino,Success,00:10:00
317,159,abowers,Start,00:06:00
318,159,abowers,Success,00:57:00
319,160,msandoval,Start,00:06:00
320,160,msandoval,Failure,00:52:00
321,161,cmurphy,Start,00:13:00
322,161,cmurphy,Failure,00:50:00
323,162,awest,Start,00:05:00
324,162,awest,Success,00:45:00
325,163,cmurphy,Start,00:08:00
326,163,cmurphy,Success,00:36:00
327,164,dwaller,Start,00:10:00
328,164,dwaller,Success,00:20:00
329,165,amccormick,Start,00:07:00
330,165,amccormick,Success,00:14:00
331,166,aclay,Start,00:09:00
332,166,aclay,Success,01:04:00
333,167,cgamble,Start,00:03:00
334,167,cgamble,Success,00:08:00
335,168,bmcfarland,Start,00:04:00
336,168,bmcfarland,Failure,00:59:00
337,169,elawson,Start,00:07:00
338,169,elawson,Success,01:06:00
339,170,kclayton,Start,00:05:00
340,170,kclayton,Success,00:18:00
341,171,fkaiser,Start,00:09:00
342,171,fkaiser,Success,00:56:00
343,172,rmcbride,Start,00:01:00
344,172,rmcbride,Success,00:40:00
345,173,rlarson,Start,00:05:00
346,173,rlarson,Failure,00:15:00
347,174,lthayer,Start,00:07:00
348,174,lthayer,Success,00:19:00
349,175,lmackey,Start,00:11:00
350,175,lmackey,Success,00:54:00
351,176,fdonovan,Start,00:09:00
352,176,fdonovan,Failure,01:04:00
353,177,gmcpherson,Start,00:14:00
354,177,gmcpherson,Failure,00:44:00
355,178,lthayer,Start,00:04:00
356,178,lthayer,Failure,00:22:00
357,179,fdonovan,Start,00:09:00
358,179,fdonovan,Failure,00:17:00
359,180,bleonard,Start,00:04:00
360,180,bleonard,Success,00:36:00
361,181,jclay,Start,00:09:00
362,181,jclay,Success,00:50:00
363,182,senglish,Start,00:13:00
364,182,senglish,Success,00:39:00
365,183,djohns,Start,00:15:00
366,183,djohns,Success,01:14:00
367,184,wcary,Start,00:08:00
368,184,wcary,Failure,00:28:00
369,185,aclay,Start,00:16:00
370,185,aclay,Success,00:51:00
371,186,gwade,Start,00:01:00
372,186,gwade,Success,00:35:00
373,187,mpierce,Start,00:02:00
374,187,mpierce,Success,00:37:00
375,188,ctrevino,Start,00:07:00
376,188,ctrevino,Success,00:21:00
377,189,jgallegos,Start,00:03:00
378,189,jgallegos,Success,00:33:00
379,190,awest,Start,00:08:00
380,190,awest,Success,00:20:00
381,191,dwalsh,Start,00:06:00
382,191,dwalsh,Failure,01:05:00
383,192,lhorn,Start,00:08:00
384,192,lhorn,Failure,00:22:00
385,193,bleonard,Start,00:04:00
386,193,bleonard,Failure,00:19:00
387,194,cgamble,Start,00:03:00
388,194,cgamble,Success,00:49:00
389,195,rhurst,Start,00:02:00
390,195,rhurst,Failure,00:38:00
391,196,elawson,Start,00:03:00
392,196,elawson,Failure,00:51:00
393,197,hbethann,Start,00:12:00
394,197,hbethann,Failure,00:23:00
395,198,rlarson,Start,00:01:00
396,198,rlarson,Success,00:06:00
397,199,mpierce,Start,00:07:00
398,199,mpierce,Failure,00:22:00
399,200,dwalsh,Start,00:01:00
400,200,dwalsh,Failure,00:48:00
401,201,dwaller,Start,00:07:00
402,201,dwaller,Failure,00:26:00
403,202,jwagoner,Start,00:10:00
404,202,jwagoner,Success,00:23:00
405,203,mgarner,Start,00:02:00
406,203,mgarner,Success,00:13:00
407,204,dkaplan,Start,00:03:00
408,204,dkaplan,Success,00:14:00
409,205,jwagoner,Start,00:06:00
410,205,jwagoner,Failure,00:23:00
411,206,cfry,Start,00:07:00
412,206,cfry,Success,00:27:00
413,207,rmcbride,Start,00:14:00
414,207,rmcbride,Success,00:25:00
415,208,senglish,Start,00:07:00
416,208,senglish,Failure,00:22:00
417,209,kmullins,Start,00:15:00
418,209,kmullins,Success,00:38:00
419,210,msandoval,Start,00:03:00
420,210,msandoval,Success,00:55:00
421,211,senglish,Start,00:09:00
422,211,senglish,Success,00:43:00
423,212,abarker,Start,00:09:00
424,212,abarker,Success,00:31:00
425,213,jmcintire,Start,00:11:00
426,213,jmcintire,Success,00:31:00
427,214,rhurst,Start,00:01:00
428,214,rhurst,Success,01:00:00
429,215,wcary,Start,00:03:00
430,215,wcary,Success,00:59:00
431,216,vearleen,Start,00:06:00
432,216,vearleen,Success,00:49:00
433,217,jmcintire,Start,00:05:00
434,217,jmcintire,Success,00:27:00
435,218,jclay,Start,00:07:00
436,218,jclay,Failure,00:45:00
437,219,dwaller,Start,00:04:00
438,219,dwaller,Success,00:55:00
439,220,jmcintire,Start,00:05:00
440,220,jmcintire,Success,00:30:00
441,221,kclayton,Start,00:07:00
442,221,kclayton,Success,00:32:00
443,222,hbethann,Start,00:02:00
444,222,hbethann,Success,00:32:00
445,223,dwalsh,Start,00:05:00
446,223,dwalsh,Failure,01:00:00
447,224,aclay,Start,00:08:00
448,224,aclay,Success,00:29:00
449,225,ymoses,Start,00:08:00
450,225,ymoses,Success,00:15:00
451,226,ctrevino,Start,00:08:00
452,226,ctrevino,Success,00:58:00
453,227,hbethann,Start,00:16:00
454,227,hbethann,Failure,01:03:00
455,228,amccormick,Start,00:20:00
456,228,amccormick,Success,00:28:00
457,229,cfry,Start,00:21:00
458,229,cfry,Failure,01:17:00
459,230,lcardiga,Start,00:29:00
460,230,lcardiga,Failure,00:47:00
461,231,rmcfarland,Start,00:01:00
462,231,rmcfarland,Success,00:41:00
463,232,lthayer,Start,00:02:00
464,232,lthayer,Success,00:32:00
465,233,cgamble,Start,00:03:00
466,233,cgamble,Failure,00:43:00
467,234,bmelanie,Start,00:04:00
468,234,bmelanie,Failure,00:19:00
469,235,jmcintire,Start,00:03:00
470,235,jmcintire,Success,00:30:00
471,236,bmelanie,Start,00:04:00
472,236,bmelanie,Success,00:33:00
473,237,bmcfarland,Start,00:09:00
474,237,bmcfarland,Success,00:27:00
475,238,fkaiser,Start,00:10:00
476,238,fkaiser,Failure,00:44:00
477,239,dkaplan,Start,00:03:00
478,239,dkaplan,Success,00:14:00
479,240,abarker,Start,00:08:00
480,240,abarker,Failure,01:04:00
481,241,jmcintire,Start,00:09:00
482,241,jmcintire,Success,00:58:00
483,242,lcardiga,Start,00:14:00
484,242,lcardiga,Success,00:48:00
485,243,senglish,Start,00:03:00
486,243,senglish,Success,00:09:00
487,244,abowers,Start,00:07:00
488,244,abowers,Success,00:52:00
489,245,kmullins,Start,00:07:00
490,245,kmullins,Success,00:25:00
491,246,fkaiser,Start,00:11:00
492,246,fkaiser,Success,01:02:00
493,247,kclayton,Start,00:04:00
494,247,kclayton,Success,00:57:00
495,248,dkaplan,Start,00:04:00
496,248,dkaplan,Failure,00:20:00
497,249,abarnes,Start,00:03:00
498,249,abarnes,Success,00:30:00
499,250,dwalsh,Start,00:05:00
500,250,dwalsh,Failure,00:33:00
501,251,ymoses,Start,00:07:00
502,251,ymoses,Success,00:13:00
503,252,bcameron,Start,00:02:00
504,252,bcameron,Success,00:56:00
505,253,jclay,Start,00:01:00
506,253,jclay,Success,00:38:00
507,254,bcameron,Start,00:02:00
508,254,bcameron,Success,00:59:00
509,255,jgallegos,Start,00:05:00
510,255,jgallegos,Success,00:11:00
511,256,gwade,Start,00:02:00
512,256,gwade,Failure,00:43:00
513,257,jmcintire,Start,00:06:00
514,257,jmcintire,Failure,00:45:00
515,258,lcardiga,Start,00:01:00
516,258,lcardiga,Success,00:53:00
517,259,dwaller,Start,00:07:00
518,259,dwaller,Success,00:38:00
519,260,vearleen,Start,00:06:00
520,260,vearleen,Failure,00:52:00
521,261,lthayer,Start,00:07:00
522,261,lthayer,Success,00:18:00
523,262,mpierce,Start,00:05:00
524,262,mpierce,Success,00:26:00
525,263,lhorn,Start,00:06:00
526,263,lhorn,Success,00:45:00
527,264,vearleen,Start,00:07:00
528,264,vearleen,Success,00:19:00
529,265,awest,Start,00:08:00
530,265,awest,Failure,00:42:00
531,266,jmcintire,Start,00:08:00
532,266,jmcintire,Success,00:17:00
533,267,djohns,Start,00:03:00
534,267,djohns,Success,00:36:00
535,268,rhurst,Start,00:08:00
536,268,rhurst,Failure,00:53:00
537,269,abowers,Start,00:14:00
538,269,abowers,Success,01:10:00
539,270,vearleen,Start,00:01:00
540,270,vearleen,Success,00:35:00
541,271,vearleen,Start,00:07:00
542,271,vearleen,Failure,00:47:00
543,272,jgallegos,Start,00:09:00
544,272,jgallegos,Success,00:16:00
545,273,hbethann,Start,00:06:00
546,273,hbethann,Success,00:52:00
547,274,wcary,Start,00:01:00
548,274,wcary,Success,00:44:00
549,275,rhurst,Start,00:09:00
550,275,rhurst,Success,01:05:00
551,276,rvalencia,Start,00:12:00
552,276,rvalencia,Success,00:53:00
553,277,cgamble,Start,00:07:00
554,277,cgamble,Failure,00:32:00
555,278,jmcintire,Start,00:06:00
556,278,jmcintire,Failure,00:38:00
557,279,djohns,Start,00:06:00
558,279,djohns,Failure,00:55:00
559,280,fkaiser,Start,00:11:00
560,280,fkaiser,Success,00:34:00
561,281,msandoval,Start,00:19:00
562,281,msandoval,Failure,00:56:00
563,282,msandoval,Start,00:22:00
564,282,msandoval,Failure,00:41:00
565,283,mmullen,Start,00:03:00
566,283,mmullen,Success,00:58:00
567,284,lmackey,Start,00:07:00
568,284,lmackey,Success,00:28:00
569,285,bcameron,Start,00:02:00
570,285,bcameron,Failure,00:29:00
571,286,cgamble,Start,00:04:00
572,286,cgamble,Success,00:38:00
573,287,rvalencia,Start,00:11:00
574,287,rvalencia,Success,00:37:00
575,288,jclay,Start,00:14:00
576,288,jclay,Success,01:05:00
577,289,lmackey,Start,00:09:00
578,289,lmackey,Failure,00:29:00
579,290,bleonard,Start,00:05:00
580,290,bleonard,Success,00:16:00
581,291,bleonard,Start,00:04:00
582,291,bleonard,Failure,01:00:00
583,292,ctrevino,Start,00:05:00
584,292,ctrevino,Success,00:38:00
585,293,bmcfarland,Start,00:11:00
586,293,bmcfarland,Failure,00:35:00
587,294,fkaiser,Start,00:02:00
588,294,fkaiser,Success,00:25:00
589,295,ctrevino,Start,00:05:00
590,295,ctrevino,Failure,00:53:00
591,296,ghickey,Start,00:13:00
592,296,ghickey,Failure,00:47:00
593,297,amccormick,Start,00:02:00
594,297,amccormick,Success,00:15:00
595,298,cfry,Start,00:02:00
596,298,cfry,Failure,00:57:00
597,299,rhurst,Start,00:09:00
598,299,rhurst,Failure,00:43:00
599,300,mgarner,Start,00:06:00
600,300,mgarner,Success,00:39:00
601,301,dwalsh,Start,00:04:00
602,301,dwalsh,Success,01:02:00
603,302,senglish,Start,00:10:00
604,302,senglish,Failure,00:57:00
605,303,mmullen,Start,00:09:00
606,303,mmullen,Success,00:37:00
607,304,kclayton,Start,00:11:00
608,304,kclayton,Failure,00:49:00
609,305,lthayer,Start,00:09:00
610,305,lthayer,Success,00:19:00
611,306,hbethann,Start,00:11:00
612,306,hbethann,Success,00:23:00
613,307,cchoi,Start,00:09:00
614,307,cchoi,Success,00:25:00
615,308,kmullins,Start,00:04:00
616,308,kmullins,Success,00:54:00
617,309,elawson,Start,00:08:00
618,309,elawson,Success,00:53:00
619,310,cfry,Start,00:03:00
620,310,cfry,Success,00:23:00
621,311,hbethann,Start,00:05:00
622,311,hbethann,Failure,01:01:00
623,312,lcardiga,Start,00:12:00
624,312,lcardiga,Failure,01:10:00
625,313,awest,Start,00:09:00
626,313,awest,Success,00:28:00
627,314,elawson,Start,00:17:00
628,314,elawson,Success,01:02:00
629,315,ymoses,Start,00:08:00
630,315,ymoses,Success,01:05:00
631,316,wcary,Start,00:01:00
632,316,wcary,Success,00:45:00
633,317,hbethann,Start,00:06:00
634,317,hbethann,Success,00:55:00
635,318,amccormick,Start,00:06:00
636,318,amccormick,Success,00:53:00
637,319,lcardiga,Start,00:04:00
638,319,lcardiga,Failure,00:54:00
639,320,dwalsh,Start,00:05:00
640,320,dwalsh,Failure,00:26:00
641,321,jwagoner,Start,00:09:00
642,321,jwagoner,Success,00:22:00
643,322,jwagoner,Start,00:15:00
644,322,jwagoner,Failure,00:23:00
645,323,bcameron,Start,00:06:00
646,323,bcameron,Success,00:13:00
647,324,jclay,Start,00:06:00
648,324,jclay,Success,00:29:00
649,325,fdonovan,Start,00:01:00
650,325,fdonovan,Success,00:18:00
651,326,msandoval,Start,00:02:00
652,326,msandoval,Success,00:49:00
653,327,dwalsh,Start,00:04:00
654,327,dwalsh,Failure,00:38:00
655,328,kclayton,Start,00:05:00
656,328,kclayton,Success,01:04:00
657,329,lcardiga,Start,00:13:00
658,329,lcardiga,Success,00:29:00
659,330,mgarner,Start,00:06:00
660,330,mgarner,Failure,00:17:00
661,331,elawson,Start,00:15:00
662,331,elawson,Success,00:30:00
663,332,jmcintire,Start,00:05:00
664,332,jmcintire,Success,00:37:00
665,333,kshannon,Start,00:02:00
666,333,kshannon,Success,00:14:00
667,334,lthayer,Start,00:02:00
668,334,lthayer,Success,01:00:00
669,335,cmurphy,Start,00:03:00
670,335,cmurphy,Failure,00:39:00
671,336,jwagoner,Start,00:05:00
672,336,jwagoner,Success,00:43:00
673,337,alee,Start,00:04:00
674,337,alee,Success,01:02:00
675,338,rmcfarland,Start,00:07:00
676,338,rmcfarland,Success,00:38:00
677,339,fdonovan,Start,00:14:00
678,339,fdonovan,Failure,00:32:00
679,340,jclay,Start,00:22:00
680,340,jclay,Success,01:15:00
681,341,cmurphy,Start,00:04:00
682,341,cmurphy,Success,00:20:00
683,342,fdonovan,Start,00:09:00
684,342,fdonovan,Failure,00:51:00
685,343,kmullins,Start,00:06:00
686,343,kmullins,Success,01:01:00
687,344,wcary,Start,00:07:00
688,344,wcary,Success,00:15:00
689,345,lmackey,Start,00:10:00
690,345,lmackey,Failure,01:09:00
691,346,hbethann,Start,00:02:00
692,346,hbethann,Success,00:40:00
693,347,ymoses,Start,00:03:00
694,347,ymoses,Failure,00:15:00
695,348,jgallegos,Start,00:11:00
696,348,jgallegos,Success,00:52:00
697,349,ahill,Start,00:09:00
698,349,ahill,Success,00:48:00
699,350,abarker,Start,00:15:00
700,350,abarker,Failure,01:03:00
701,351,abarnes,Start,00:09:00
702,351,abarnes,Failure,00:37:00
703,352,gwade,Start,00:07:00
704,352,gwade,Failure,00:50:00
705,353,aclay,Start,00:08:00
706,353,aclay,Success,00:20:00
707,354,abowers,Start,00:06:00
708,354,abowers,Success,00:45:00
709,355,rvalencia,Start,00:14:00
710,355,rvalencia,Failure,01:08:00
711,356,lthayer,Start,00:21:00
712,356,lthayer,Failure,00:53:00
713,357,ctrevino,Start,00:08:00
714,357,ctrevino,Failure,00:55:00
715,358,elawson,Start,00:06:00
716,358,elawson,Failure,00:16:00
717,359,lhorn,Start,00:05:00
718,359,lhorn,Success,00:56:00
719,360,cgamble,Start,00:13:00
720,360,cgamble,Success,00:32:00
721,361,gwade,Start,00:03:00
722,361,gwade,Success,00:13:00
723,362,hbethann,Start,00:12:00
724,362,hbethann,Failure,00:44:00
725,363,fhiedi,Start,00:02:00
726,363,fhiedi,Failure,00:55:00
727,364,bmelanie,Start,00:02:00
728,364,bmelanie,Failure,00:24:00
729,365,jclay,Start,00:10:00
730,365,jclay,Failure,00:59:00
731,366,fkaiser,Start,00:01:00
732,366,fkaiser,Success,00:30:00
733,367,kclayton,Start,00:08:00
734,367,kclayton,Failure,01:02:00
735,368,lmackey,Start,00:08:00
736,368,lmackey,Failure,00:19:00
737,369,awest,Start,00:08:00
738,369,awest,Failure,00:32:00
739,370,abarker,Start,00:08:00
740,370,abarker,Success,00:43:00
741,371,cgamble,Start,00:07:00
742,371,cgamble,Success,00:32:00
743,372,kmullins,Start,00:09:00
744,372,kmullins,Failure,00:17:00
745,373,fhiedi,Start,00:12:00
746,373,fhiedi,Success,00:35:00
747,374,cgamble,Start,00:08:00
748,374,cgamble,Failure,00:27:00
749,375,mmullen,Start,00:09:00
750,375,mmullen,Failure,00:21:00
751,376,mmullen,Start,00:07:00
752,376,mmullen,Success,00:37:00
753,377,fkaiser,Start,00:04:00
754,377,fkaiser,Success,00:09:00
755,378,mfuentes,Start,00:08:00
756,378,mfuentes,Success,00:51:00
757,379,kclayton,Start,00:07:00
758,379,kclayton,Failure,00:29:00
759,380,rvalencia,Start,00:07:00
760,380,rvalencia,Success,00:55:00
761,381,kmullins,Start,00:02:00
762,381,kmullins,Failure,00:33:00
763,382,kclayton,Start,00:04:00
764,382,kclayton,Success,01:01:00
765,383,wcary,Start,00:05:00
