id	peer	_date	_time	state
77	fhiedi	2022-06-13	15:54:00	1
78	fhiedi	2022-06-13	16:35:00	2
79	fhiedi	2022-06-22	11:17:00	1
80	fhiedi	2022-06-22	12:13:00	2
81	fhiedi	2022-06-22	12:19:00	1
82	fhiedi	2022-06-22	13:12:00	2
83	fhiedi	2022-06-22	13:15:00	1
84	fhiedi	2022-06-22	13:54:00	2
85	fhiedi	2022-06-24	17:53:00	1
86	fhiedi	2022-06-24	18:21:00	2
87	fhiedi	2022-06-24	18:31:00	1
88	fhiedi	2022-06-24	19:00:00	2
89	fhiedi	2022-06-30	15:18:00	1
90	fhiedi	2022-06-30	16:05:00	2
91	fhiedi	2022-07-08	09:22:00	1
92	fhiedi	2022-07-08	10:07:00	2
93	fhiedi	2022-07-08	10:32:00	1
94	fhiedi	2022-07-08	11:03:00	2
95	fhiedi	2022-07-08	11:10:00	1
96	fhiedi	2022-07-08	12:08:00	2
97	fhiedi	2022-07-12	02:36:00	1
98	fhiedi	2022-07-12	03:11:00	2
99	fhiedi	2022-07-12	03:37:00	1
100	fhiedi	2022-07-12	04:05:00	2
101	fhiedi	2022-07-12	04:18:00	1
102	fhiedi	2022-07-12	04:57:00	2
103	fhiedi	2022-07-28	19:59:00	1
104	fhiedi	2022-07-28	20:21:00	2
105	fhiedi	2022-07-28	20:45:00	1
106	fhiedi	2022-07-28	21:34:00	2
107	fhiedi	2022-07-28	21:45:00	1
108	fhiedi	2022-07-28	22:33:00	2
109	fhiedi	2022-08-01	19:11:00	1
110	fhiedi	2022-08-01	19:48:00	2
111	fhiedi	2022-08-01	19:54:00	1
112	fhiedi	2022-08-01	20:34:00	2
113	fhiedi	2022-08-01	20:44:00	1
114	fhiedi	2022-08-01	21:41:00	2
115	fhiedi	2022-08-10	16:22:00	1
116	fhiedi	2022-08-10	16:45:00	2
117	fhiedi	2022-08-10	17:03:00	1
118	fhiedi	2022-08-10	17:23:00	2
119	fhiedi	2022-08-10	17:49:00	1
120	fhiedi	2022-08-10	18:10:00	2
121	fhiedi	2022-08-24	12:45:00	1
122	fhiedi	2022-08-24	13:12:00	2
123	fhiedi	2022-08-24	13:34:00	1
124	fhiedi	2022-08-24	14:08:00	2
125	fhiedi	2022-08-24	14:19:00	1
126	fhiedi	2022-08-24	14:49:00	2
127	fhiedi	2022-09-01	18:27:00	1
128	fhiedi	2022-09-01	19:06:00	2
129	fhiedi	2022-09-01	19:33:00	1
130	fhiedi	2022-09-01	20:13:00	2
131	fhiedi	2022-09-14	15:16:00	1
132	fhiedi	2022-09-14	15:44:00	2
133	fhiedi	2022-09-14	15:56:00	1
134	fhiedi	2022-09-14	16:25:00	2
135	fhiedi	2022-09-14	16:45:00	1
136	fhiedi	2022-09-14	17:17:00	2
137	fhiedi	2022-09-17	17:57:00	1
138	fhiedi	2022-09-17	18:17:00	2
139	fhiedi	2022-09-30	08:21:00	1
140	fhiedi	2022-09-30	09:11:00	2
141	fhiedi	2022-10-01	16:48:00	1
142	fhiedi	2022-10-01	17:20:00	2
143	fhiedi	2022-10-01	17:47:00	1
144	fhiedi	2022-10-01	18:45:00	2
145	fhiedi	2022-10-01	18:46:00	1
146	fhiedi	2022-10-01	19:39:00	2
147	fhiedi	2022-10-05	15:41:00	1
148	fhiedi	2022-10-05	16:01:00	2
149	fhiedi	2022-10-05	16:17:00	1
150	fhiedi	2022-10-05	16:44:00	2
151	fhiedi	2022-10-05	16:56:00	1
152	fhiedi	2022-10-05	17:39:00	2
153	fhiedi	2022-10-20	02:01:00	1
154	fhiedi	2022-10-20	02:52:00	2
155	fhiedi	2022-10-20	03:16:00	1
156	fhiedi	2022-10-20	04:11:00	2
157	fhiedi	2022-10-20	04:20:00	1
158	fhiedi	2022-10-20	05:08:00	2
159	fhiedi	2022-10-25	12:45:00	1
160	fhiedi	2022-10-25	13:17:00	2
161	fhiedi	2022-10-25	13:31:00	1
162	fhiedi	2022-10-25	14:15:00	2
163	fhiedi	2022-11-01	16:58:00	1
164	fhiedi	2022-11-01	17:24:00	2
165	fhiedi	2022-11-01	17:26:00	1
166	fhiedi	2022-11-01	18:08:00	2
167	fhiedi	2022-11-04	15:52:00	1
168	fhiedi	2022-11-04	16:33:00	2
169	fhiedi	2022-11-04	17:00:00	1
170	fhiedi	2022-11-04	17:23:00	2
171	fhiedi	2022-11-04	17:27:00	1
172	fhiedi	2022-11-04	18:22:00	2
173	fhiedi	2022-11-13	18:32:00	1
174	fhiedi	2022-11-13	18:52:00	2
175	fhiedi	2022-11-15	19:52:00	1
176	fhiedi	2022-11-15	20:41:00	2
177	fhiedi	2022-11-15	21:06:00	1
178	fhiedi	2022-11-15	21:35:00	2
179	fhiedi	2022-11-17	03:53:00	1
180	fhiedi	2022-11-17	04:30:00	2
181	fhiedi	2022-11-19	15:00:00	1
182	fhiedi	2022-11-19	15:51:00	2
183	fhiedi	2022-11-21	01:28:00	1
184	fhiedi	2022-11-21	02:18:00	2
185	fhiedi	2022-11-21	02:23:00	1
186	fhiedi	2022-11-21	03:17:00	2
187	fhiedi	2022-11-21	03:42:00	1
188	fhiedi	2022-11-21	04:10:00	2
189	fhiedi	2022-11-25	11:10:00	1
190	fhiedi	2022-11-25	12:08:00	2
191	fhiedi	2022-11-25	12:24:00	1
192	fhiedi	2022-11-25	12:46:00	2
193	fhiedi	2022-11-28	07:58:00	1
194	fhiedi	2022-11-28	08:44:00	2
195	fhiedi	2022-11-28	08:59:00	1
196	fhiedi	2022-11-28	09:41:00	2
197	fhiedi	2022-12-05	02:12:00	1
198	fhiedi	2022-12-05	02:38:00	2
199	fhiedi	2022-12-05	02:55:00	1
200	fhiedi	2022-12-05	03:53:00	2
201	fhiedi	2022-12-06	15:17:00	1
202	fhiedi	2022-12-06	16:06:00	2
203	fhiedi	2022-12-06	16:33:00	1
204	fhiedi	2022-12-06	17:23:00	2
205	fhiedi	2022-12-07	10:11:00	1
206	fhiedi	2022-12-07	11:02:00	2
207	fhiedi	2022-12-07	11:28:00	1
208	fhiedi	2022-12-07	12:07:00	2
209	fhiedi	2022-12-08	06:26:00	1
210	fhiedi	2022-12-08	07:00:00	2
211	fhiedi	2022-12-08	07:16:00	1
212	fhiedi	2022-12-08	07:36:00	2
213	fhiedi	2022-12-08	07:52:00	1
214	fhiedi	2022-12-08	08:37:00	2
215	fhiedi	2022-12-17	06:13:00	1
216	fhiedi	2022-12-17	07:07:00	2
217	fhiedi	2022-12-17	07:27:00	1
218	fhiedi	2022-12-17	08:19:00	2
219	fhiedi	2022-12-18	04:14:00	1
220	fhiedi	2022-12-18	04:40:00	2
221	fhiedi	2022-12-20	07:00:00	1
222	fhiedi	2022-12-20	07:31:00	2
223	fhiedi	2022-12-20	07:46:00	1
224	fhiedi	2022-12-20	08:27:00	2
225	fhiedi	2022-12-21	03:12:00	1
226	fhiedi	2022-12-21	03:36:00	2
227	fhiedi	2022-12-21	03:39:00	1
228	fhiedi	2022-12-21	04:26:00	2
229	fhiedi	2022-12-21	04:35:00	1
230	fhiedi	2022-12-21	05:22:00	2
231	fhiedi	2022-12-24	02:41:00	1
232	fhiedi	2022-12-24	03:22:00	2
233	fhiedi	2022-12-24	03:31:00	1
234	fhiedi	2022-12-24	04:18:00	2
235	fhiedi	2022-12-28	05:56:00	1
236	fhiedi	2022-12-28	06:53:00	2
237	fhiedi	2022-12-28	07:15:00	1
238	fhiedi	2022-12-28	07:50:00	2
239	fhiedi	2022-12-28	08:07:00	1
240	fhiedi	2022-12-28	08:58:00	2
241	fhiedi	2022-12-29	13:55:00	1
242	fhiedi	2022-12-29	14:19:00	2
243	fhiedi	2022-12-29	14:21:00	1
244	fhiedi	2022-12-29	14:53:00	2
245	fhiedi	2022-12-29	15:13:00	1
246	fhiedi	2022-12-29	15:59:00	2
247	fhiedi	2023-01-02	03:47:00	1
248	fhiedi	2023-01-02	04:31:00	2
249	fhiedi	2023-01-02	04:39:00	1
250	fhiedi	2023-01-02	05:15:00	2
251	fhiedi	2023-01-03	04:35:00	1
252	fhiedi	2023-01-03	05:07:00	2
253	fhiedi	2023-01-04	04:34:00	1
254	fhiedi	2023-01-04	05:05:00	2
255	fhiedi	2023-01-04	05:30:00	1
256	fhiedi	2023-01-04	05:58:00	2
257	fhiedi	2023-01-10	16:28:00	1
258	fhiedi	2023-01-10	17:12:00	2
259	fhiedi	2023-01-10	17:13:00	1
260	fhiedi	2023-01-10	17:46:00	2
261	fhiedi	2023-01-10	18:01:00	1
262	fhiedi	2023-01-10	18:25:00	2
263	fhiedi	2023-01-22	06:44:00	1
264	fhiedi	2023-01-22	07:06:00	2
265	fhiedi	2023-01-22	07:12:00	1
266	fhiedi	2023-01-22	08:02:00	2
267	fhiedi	2023-01-24	03:33:00	1
268	fhiedi	2023-01-24	04:22:00	2
269	fhiedi	2023-01-26	10:56:00	1
270	fhiedi	2023-01-26	11:47:00	2
271	fhiedi	2023-01-26	12:07:00	1
272	fhiedi	2023-01-26	12:28:00	2
273	fhiedi	2023-01-29	18:33:00	1
274	fhiedi	2023-01-29	19:09:00	2
275	fhiedi	2023-01-29	19:23:00	1
276	fhiedi	2023-01-29	20:14:00	2
277	fhiedi	2023-02-04	16:15:00	1
278	fhiedi	2023-02-04	16:51:00	2
279	fhiedi	2023-02-07	01:22:00	1
280	fhiedi	2023-02-07	01:57:00	2
281	fhiedi	2023-02-11	17:15:00	1
282	fhiedi	2023-02-11	17:52:00	2
283	fhiedi	2023-02-11	18:18:00	1
284	fhiedi	2023-02-11	18:42:00	2
285	fhiedi	2023-02-11	18:49:00	1
286	fhiedi	2023-02-11	19:12:00	2
287	fhiedi	2023-02-19	02:38:00	1
288	fhiedi	2023-02-19	03:16:00	2
289	fhiedi	2023-02-19	03:24:00	1
290	fhiedi	2023-02-19	04:05:00	2
291	fhiedi	2023-02-21	05:20:00	1
292	fhiedi	2023-02-21	06:01:00	2
293	fhiedi	2023-02-25	17:43:00	1
294	fhiedi	2023-02-25	18:07:00	2
295	fhiedi	2023-02-25	18:34:00	1
296	fhiedi	2023-02-25	19:05:00	2
297	fhiedi	2023-02-28	18:46:00	1
298	fhiedi	2023-02-28	19:22:00	2
299	fhiedi	2023-02-28	19:29:00	1
300	fhiedi	2023-02-28	19:55:00	2
301	fhiedi	2023-02-28	20:10:00	1
302	fhiedi	2023-02-28	21:03:00	2
303	fhiedi	2023-03-02	08:51:00	1
304	fhiedi	2023-03-02	09:49:00	2
305	fhiedi	2023-03-02	09:51:00	1
306	fhiedi	2023-03-02	10:41:00	2
307	fhiedi	2023-03-02	10:54:00	1
308	fhiedi	2023-03-02	11:45:00	2
309	fhiedi	2023-03-04	02:59:00	1
310	fhiedi	2023-03-04	03:29:00	2
311	fhiedi	2023-03-04	03:36:00	1
312	fhiedi	2023-03-04	04:14:00	2
313	fhiedi	2023-03-07	10:17:00	1
314	fhiedi	2023-03-07	10:37:00	2
315	fhiedi	2023-03-07	10:54:00	1
316	fhiedi	2023-03-07	11:15:00	2
317	fhiedi	2023-03-28	00:44:00	1
318	fhiedi	2023-03-28	01:36:00	2
319	fhiedi	2023-03-28	01:49:00	1
320	fhiedi	2023-03-28	02:33:00	2
321	fhiedi	2023-03-28	02:49:00	1
322	fhiedi	2023-03-28	03:22:00	2
323	fhiedi	2023-03-31	05:25:00	1
324	fhiedi	2023-03-31	05:55:00	2
325	fhiedi	2023-03-31	06:09:00	1
326	fhiedi	2023-03-31	06:42:00	2
327	fhiedi	2023-04-02	15:15:00	1
328	fhiedi	2023-04-02	15:59:00	2
329	fhiedi	2023-04-02	16:03:00	1
330	fhiedi	2023-04-02	16:55:00	2
331	fhiedi	2023-04-10	15:09:00	1
332	fhiedi	2023-04-10	15:47:00	2
333	fhiedi	2023-04-13	15:02:00	1
334	fhiedi	2023-04-13	15:33:00	2
335	fhiedi	2023-04-16	19:08:00	1
336	fhiedi	2023-04-16	19:37:00	2
337	fhiedi	2023-04-17	15:31:00	1
338	fhiedi	2023-04-17	15:58:00	2
339	fhiedi	2023-04-17	16:19:00	1
340	fhiedi	2023-04-17	16:55:00	2
341	fhiedi	2023-04-19	18:55:00	1
342	fhiedi	2023-04-19	19:18:00	2
343	fhiedi	2023-04-19	19:35:00	1
344	fhiedi	2023-04-19	20:07:00	2
345	fhiedi	2023-04-19	20:25:00	1
346	fhiedi	2023-04-19	21:24:00	2
347	fhiedi	2023-04-22	17:26:00	1
348	fhiedi	2023-04-22	18:11:00	2
349	fhiedi	2023-04-22	18:35:00	1
350	fhiedi	2023-04-22	19:07:00	2
351	fhiedi	2023-04-23	09:40:00	1
352	fhiedi	2023-04-23	10:34:00	2
353	fhiedi	2023-04-23	10:58:00	1
354	fhiedi	2023-04-23	11:18:00	2
355	fhiedi	2023-05-02	10:45:00	1
356	fhiedi	2023-05-02	11:11:00	2
357	fhiedi	2023-05-02	11:37:00	1
358	fhiedi	2023-05-02	11:59:00	2
359	fhiedi	2023-05-02	12:01:00	1
360	fhiedi	2023-05-02	12:38:00	2
361	fhiedi	2023-05-05	02:32:00	1
362	fhiedi	2023-05-05	03:20:00	2
363	fhiedi	2023-05-05	03:29:00	1
364	fhiedi	2023-05-05	04:10:00	2
365	fhiedi	2023-05-05	04:23:00	1
366	fhiedi	2023-05-05	05:15:00	2
367	fhiedi	2023-05-10	11:43:00	1
368	fhiedi	2023-05-10	12:04:00	2
369	fhiedi	2023-05-12	00:29:00	1
370	fhiedi	2023-05-12	01:19:00	2
371	fhiedi	2023-05-19	09:01:00	1
372	fhiedi	2023-05-19	09:52:00	2
373	fhiedi	2023-05-19	10:01:00	1
374	fhiedi	2023-05-19	10:25:00	2
375	fhiedi	2023-05-19	10:42:00	1
376	fhiedi	2023-05-19	11:21:00	2
377	fhiedi	2023-06-05	12:38:00	1
378	fhiedi	2023-06-05	12:59:00	2
379	fhiedi	2023-06-05	13:25:00	1
380	fhiedi	2023-06-05	14:03:00	2
381	fhiedi	2023-06-10	11:34:00	1
382	fhiedi	2023-06-10	12:22:00	2
383	fhiedi	2023-06-10	12:51:00	1
384	fhiedi	2023-06-10	13:44:00	2
385	fhiedi	2023-06-10	13:56:00	1
386	fhiedi	2023-06-10	14:30:00	2
387	fhiedi	2023-06-13	03:33:00	1
388	fhiedi	2023-06-13	04:18:00	2
389	fhiedi	2023-06-13	04:26:00	1
390	fhiedi	2023-06-13	04:54:00	2
391	fhiedi	2023-06-13	05:19:00	1
392	fhiedi	2023-06-13	05:52:00	2
393	fhiedi	2023-06-15	07:24:00	1
394	fhiedi	2023-06-15	07:45:00	2
395	fhiedi	2023-06-15	07:54:00	1
396	fhiedi	2023-06-15	08:40:00	2
397	fhiedi	2023-06-17	17:33:00	1
398	fhiedi	2023-06-17	18:20:00	2
399	fhiedi	2023-06-17	18:28:00	1
400	fhiedi	2023-06-17	19:02:00	2
401	fhiedi	2023-06-18	01:04:00	1
402	fhiedi	2023-06-18	01:27:00	2
403	fhiedi	2023-06-18	01:29:00	1
404	fhiedi	2023-06-18	02:12:00	2
405	fhiedi	2023-06-26	09:15:00	1
406	fhiedi	2023-06-26	09:47:00	2
407	fhiedi	2023-06-26	09:59:00	1
408	fhiedi	2023-06-26	10:45:00	2
409	fhiedi	2023-06-26	11:13:00	1
410	fhiedi	2023-06-26	11:56:00	2
411	fhiedi	2023-07-04	12:40:00	1
412	fhiedi	2023-07-04	13:01:00	2
413	fhiedi	2023-07-04	13:09:00	1
414	fhiedi	2023-07-04	13:47:00	2
415	fhiedi	2023-07-04	14:10:00	1
416	fhiedi	2023-07-04	14:41:00	2
417	fhiedi	2023-07-05	06:16:00	1
418	fhiedi	2023-07-05	07:00:00	2
419	fhiedi	2023-07-08	18:55:00	1
420	fhiedi	2023-07-08	19:37:00	2
421	fhiedi	2023-07-08	19:38:00	1
422	fhiedi	2023-07-08	20:34:00	2
423	fhiedi	2023-07-11	01:04:00	1
424	fhiedi	2023-07-11	01:46:00	2
425	fhiedi	2023-07-11	01:58:00	1
426	fhiedi	2023-07-11	02:19:00	2
427	fhiedi	2023-07-12	13:18:00	1
428	fhiedi	2023-07-12	13:52:00	2
429	fhiedi	2023-07-12	13:55:00	1
430	fhiedi	2023-07-12	14:45:00	2
431	fhiedi	2023-08-05	04:00:00	1
432	fhiedi	2023-08-05	04:57:00	2
433	fhiedi	2023-08-05	05:14:00	1
434	fhiedi	2023-08-05	05:51:00	2
435	fhiedi	2023-08-09	01:38:00	1
436	fhiedi	2023-08-09	02:16:00	2
437	fhiedi	2023-08-09	02:26:00	1
438	fhiedi	2023-08-09	03:08:00	2
439	fhiedi	2023-08-11	20:16:00	1
440	fhiedi	2023-08-11	20:40:00	2
441	fhiedi	2023-08-24	18:45:00	1
442	fhiedi	2023-08-24	19:13:00	2
443	fhiedi	2023-08-30	03:44:00	1
444	fhiedi	2023-08-30	04:19:00	2
445	fhiedi	2023-08-30	04:29:00	1
446	fhiedi	2023-08-30	05:09:00	2
447	lcardiga	2022-01-07	11:21:00	1
448	lcardiga	2022-01-07	12:00:00	2
449	lcardiga	2022-01-07	12:12:00	1
450	lcardiga	2022-01-07	12:49:00	2
451	lcardiga	2022-01-07	13:13:00	1
452	lcardiga	2022-01-07	13:35:00	2
453	lcardiga	2022-01-20	04:05:00	1
454	lcardiga	2022-01-20	04:31:00	2
455	lcardiga	2022-01-20	04:36:00	1
456	lcardiga	2022-01-20	05:14:00	2
457	lcardiga	2022-01-20	05:24:00	1
458	lcardiga	2022-01-20	06:13:00	2
459	lcardiga	2022-01-22	09:15:00	1
460	lcardiga	2022-01-22	09:37:00	2
461	lcardiga	2022-01-22	09:40:00	1
462	lcardiga	2022-01-22	10:07:00	2
463	lcardiga	2022-01-24	03:24:00	1
464	lcardiga	2022-01-24	03:57:00	2
465	lcardiga	2022-01-24	04:17:00	1
466	lcardiga	2022-01-24	04:49:00	2
467	lcardiga	2022-02-04	09:33:00	1
468	lcardiga	2022-02-04	10:06:00	2
469	lcardiga	2022-02-04	10:10:00	1
470	lcardiga	2022-02-04	10:43:00	2
471	lcardiga	2022-02-04	11:07:00	1
472	lcardiga	2022-02-04	11:54:00	2
473	lcardiga	2022-02-12	19:50:00	1
474	lcardiga	2022-02-12	20:41:00	2
475	lcardiga	2022-02-14	18:57:00	1
476	lcardiga	2022-02-14	19:46:00	2
477	lcardiga	2022-02-14	20:06:00	1
478	lcardiga	2022-02-14	20:35:00	2
479	lcardiga	2022-03-01	03:48:00	1
480	lcardiga	2022-03-01	04:08:00	2
481	lcardiga	2022-03-24	03:58:00	1
482	lcardiga	2022-03-24	04:53:00	2
483	lcardiga	2022-03-24	05:11:00	1
484	lcardiga	2022-03-24	06:09:00	2
485	lcardiga	2022-03-24	06:10:00	1
486	lcardiga	2022-03-24	06:36:00	2
487	lcardiga	2022-03-25	09:51:00	1
488	lcardiga	2022-03-25	10:40:00	2
489	lcardiga	2022-03-25	11:08:00	1
490	lcardiga	2022-03-25	11:35:00	2
491	lcardiga	2022-03-27	11:01:00	1
492	lcardiga	2022-03-27	11:21:00	2
493	lcardiga	2022-04-12	04:33:00	1
494	lcardiga	2022-04-12	04:56:00	2
495	lcardiga	2022-04-12	05:21:00	1
496	lcardiga	2022-04-12	06:02:00	2
497	lcardiga	2022-04-12	06:29:00	1
498	lcardiga	2022-04-12	07:11:00	2
499	lcardiga	2022-04-13	09:49:00	1
500	lcardiga	2022-04-13	10:20:00	2
501	lcardiga	2022-04-13	10:48:00	1
502	lcardiga	2022-04-13	11:23:00	2
503	lcardiga	2022-04-13	11:26:00	1
504	lcardiga	2022-04-13	11:53:00	2
505	lcardiga	2022-04-26	19:35:00	1
506	lcardiga	2022-04-26	20:34:00	2
507	lcardiga	2022-04-26	20:52:00	1
508	lcardiga	2022-04-26	21:15:00	2
509	lcardiga	2022-04-26	21:37:00	1
510	lcardiga	2022-04-26	22:00:00	2
511	lcardiga	2022-05-06	19:07:00	1
512	lcardiga	2022-05-06	19:59:00	2
513	lcardiga	2022-05-24	15:55:00	1
514	lcardiga	2022-05-24	16:36:00	2
515	lcardiga	2022-05-25	11:56:00	1
516	lcardiga	2022-05-25	12:21:00	2
517	lcardiga	2022-05-25	12:37:00	1
518	lcardiga	2022-05-25	13:03:00	2
519	lcardiga	2022-05-25	13:28:00	1
520	lcardiga	2022-05-25	14:26:00	2
521	lcardiga	2022-06-18	05:49:00	1
522	lcardiga	2022-06-18	06:25:00	2
523	lcardiga	2022-06-18	06:40:00	1
524	lcardiga	2022-06-18	07:07:00	2
525	lcardiga	2022-06-22	19:13:00	1
526	lcardiga	2022-06-22	19:51:00	2
527	lcardiga	2022-06-22	20:01:00	1
528	lcardiga	2022-06-22	20:54:00	2
529	lcardiga	2022-06-23	00:33:00	1
530	lcardiga	2022-06-23	01:32:00	2
531	lcardiga	2022-06-23	01:38:00	1
532	lcardiga	2022-06-23	02:01:00	2
533	lcardiga	2022-07-01	01:31:00	1
534	lcardiga	2022-07-01	02:00:00	2
535	lcardiga	2022-07-01	02:17:00	1
536	lcardiga	2022-07-01	02:41:00	2
537	lcardiga	2022-07-01	02:57:00	1
538	lcardiga	2022-07-01	03:52:00	2
539	lcardiga	2022-07-16	03:15:00	1
540	lcardiga	2022-07-16	03:51:00	2
541	lcardiga	2022-07-16	04:03:00	1
542	lcardiga	2022-07-16	04:45:00	2
543	lcardiga	2022-07-20	09:16:00	1
544	lcardiga	2022-07-20	09:41:00	2
545	lcardiga	2022-07-20	10:06:00	1
546	lcardiga	2022-07-20	10:34:00	2
547	lcardiga	2022-07-20	10:51:00	1
548	lcardiga	2022-07-20	11:16:00	2
549	lcardiga	2022-07-24	17:19:00	1
550	lcardiga	2022-07-24	18:11:00	2
551	lcardiga	2022-07-24	18:23:00	1
552	lcardiga	2022-07-24	18:46:00	2
553	lcardiga	2022-07-24	19:03:00	1
554	lcardiga	2022-07-24	19:54:00	2
555	lcardiga	2022-08-03	13:24:00	1
556	lcardiga	2022-08-03	14:00:00	2
557	lcardiga	2022-08-03	14:18:00	1
558	lcardiga	2022-08-03	14:45:00	2
559	lcardiga	2022-08-03	15:00:00	1
560	lcardiga	2022-08-03	15:28:00	2
561	lcardiga	2022-08-04	08:00:00	1
562	lcardiga	2022-08-04	08:47:00	2
563	lcardiga	2022-08-04	09:06:00	1
564	lcardiga	2022-08-04	09:42:00	2
565	lcardiga	2022-08-14	11:53:00	1
566	lcardiga	2022-08-14	12:18:00	2
567	lcardiga	2022-08-14	12:29:00	1
568	lcardiga	2022-08-14	13:03:00	2
569	lcardiga	2022-08-14	13:05:00	1
570	lcardiga	2022-08-14	13:27:00	2
571	lcardiga	2022-08-15	15:52:00	1
572	lcardiga	2022-08-15	16:43:00	2
573	lcardiga	2022-08-15	17:00:00	1
574	lcardiga	2022-08-15	17:33:00	2
575	lcardiga	2022-08-23	19:58:00	1
576	lcardiga	2022-08-23	20:51:00	2
577	lcardiga	2022-08-25	05:05:00	1
578	lcardiga	2022-08-25	05:32:00	2
579	lcardiga	2022-08-25	06:00:00	1
580	lcardiga	2022-08-25	06:30:00	2
581	lcardiga	2022-08-25	06:40:00	1
582	lcardiga	2022-08-25	07:02:00	2
583	lcardiga	2022-09-05	04:58:00	1
584	lcardiga	2022-09-05	05:32:00	2
585	lcardiga	2022-09-08	15:16:00	1
586	lcardiga	2022-09-08	15:45:00	2
587	lcardiga	2022-09-08	15:54:00	1
588	lcardiga	2022-09-08	16:15:00	2
589	lcardiga	2022-09-08	16:29:00	1
590	lcardiga	2022-09-08	17:12:00	2
591	lcardiga	2022-09-09	15:50:00	1
592	lcardiga	2022-09-09	16:36:00	2
593	lcardiga	2022-09-26	14:29:00	1
594	lcardiga	2022-09-26	15:20:00	2
595	lcardiga	2022-09-26	15:37:00	1
596	lcardiga	2022-09-26	16:01:00	2
597	lcardiga	2022-09-28	02:20:00	1
598	lcardiga	2022-09-28	02:48:00	2
599	lcardiga	2022-09-28	02:52:00	1
600	lcardiga	2022-09-28	03:42:00	2
601	lcardiga	2022-09-28	03:54:00	1
602	lcardiga	2022-09-28	04:15:00	2
603	lcardiga	2022-10-13	19:42:00	1
604	lcardiga	2022-10-13	20:12:00	2
605	lcardiga	2022-10-13	20:16:00	1
606	lcardiga	2022-10-13	20:46:00	2
607	lcardiga	2022-10-13	21:13:00	1
